id,sdr_reference,imei,session_status,momsn,mtmsn,time_of_session,indicator,latitude,longitude,cep_radius
131,2356854,333030323334303639313032303030,0,714,0,"2018-07-03 08:32:02.000000",0,56.0,40.0,3
132,2356863,333030323334303639313032303030,0,715,0,"2018-07-03 08:32:12.000000",0,56.0,40.0,3
133,2356868,333030323334303639313032303030,0,716,0,"2018-07-03 08:32:17.000000",0,56.0,40.0,3
134,2356893,333030323334303639313032303030,0,718,0,"2018-07-03 08:34:01.000000",0,56.0,40.0,7
135,2356894,333030323334303639313032303030,14,718,0,"2018-07-03 08:34:01.000000",0,56.0,40.0,7
136,2356915,333030323334303639313032303030,0,719,0,"2018-07-03 08:34:31.000000",0,56.0,40.0,8
137,2356928,333030323334303639313032303030,0,720,0,"2018-07-03 08:34:47.000000",0,56.0,40.0,9
138,2356968,333030323334303639313032303030,0,721,0,"2018-07-03 08:35:19.000000",0,56.0,41.0,11
139,2356983,333030323334303639313032303030,0,722,0,"2018-07-03 08:35:41.000000",0,56.0,41.0,9
140,2356991,333030323334303639313032303030,0,723,0,"2018-07-03 08:35:58.000000",0,56.0,41.0,8
141,2356993,333030323334303639313032303030,0,724,0,"2018-07-03 08:36:04.000000",0,56.0,41.0,7
142,2357001,333030323334303639313032303030,0,725,0,"2018-07-03 08:36:13.000000",0,56.0,40.0,7
143,2357005,333030323334303639313032303030,0,726,0,"2018-07-03 08:36:22.000000",0,56.0,40.0,6
144,2357032,333030323334303639313032303030,13,728,0,"2018-07-03 08:37:49.000000",0,56.0,40.0,3
145,2357051,333030323334303639313032303030,0,728,0,"2018-07-03 08:38:36.000000",0,56.0,40.0,2
146,2357127,333030323334303639313032303030,0,729,0,"2018-07-03 08:40:04.000000",0,56.0,40.0,2
147,2357154,333030323334303639313032303030,0,730,0,"2018-07-03 08:40:15.000000",0,56.0,40.0,2
148,2357172,333030323334303639313032303030,0,731,0,"2018-07-03 08:40:22.000000",0,56.0,41.0,2
